id,time,replicate_1,replicate_2,replicate_3
droso_4840,36.7,2.7896671,3.9086816,2.6889312
droso_4840,36.800000000000004,2.883512,3.487229,2.3667972
droso_4840,36.9,3.143409,3.1376984,2.4420104
droso_4840,37.0,3.3670344,2.8156936,2.9207685
droso_4840,37.1,3.047844,2.3241632,2.2996206
droso_4840,37.2,2.9847777,2.8128116,2.4452434
droso_4840,37.300000000000004,2.9929967,2.5364633,2.4451818
droso_4840,37.4,2.7854168,3.0153084,2.7533758
droso_4840,37.5,2.665512,3.0966442,2.6801271
droso_4840,37.6,2.7214303,2.9828427,2.9380932
droso_4840,37.7,2.551708,2.8187308,2.7971976
droso_4840,37.800000000000004,2.5017812,2.6885765,2.7913473
droso_4840,37.9,2.579594,3.2454247,2.670834
droso_4840,38.0,2.215003,2.7164493,2.8381498
droso_4840,38.1,2.431203,3.3389518,2.5704372
droso_4840,38.2,2.4442647,2.8963366,2.5250924
droso_4840,38.300000000000004,2.2564633,3.7118456,2.2320218
droso_4840,38.400000000000006,1.9541502,3.0570471,2.041151
droso_4840,38.5,1.9920957,2.9033196,2.2825415
droso_4840,38.6,2.211143,3.3773909,2.6088123
droso_4840,38.7,1.6942679,3.1880462,2.7431822
droso_4840,38.800000000000004,1.9766163,3.351793,2.5959587
droso_4840,38.900000000000006,2.0099254,3.1301527,2.7573857
droso_4840,39.0,2.048452,2.4927385,2.3976922
droso_4840,39.1,1.8004217,2.753142,2.247567
droso_4840,39.2,1.9211804,2.7180612,2.3760583
droso_4840,39.300000000000004,1.9384984,2.516835,2.719621
droso_4840,39.400000000000006,2.3021703,3.0290346,2.6531448
droso_4840,39.5,2.083969,3.2875578,3.1410098
droso_4840,39.6,1.560076,3.3092408,2.9166102
droso_4840,39.7,1.8161939,3.3568764,2.8489196
droso_4840,39.800000000000004,2.2549162,3.2120662,2.9171166
droso_4840,39.900000000000006,2.3001215,3.243705,2.719591
droso_4840,40.0,2.2370725,3.4388983,2.9141371
droso_4840,40.1,2.367716,3.318965,2.8935246
droso_4840,40.2,1.9556367,3.6227746,2.7958014
droso_4840,40.300000000000004,2.3234038,3.2224674,3.0494692
droso_4840,40.400000000000006,2.8305645,3.6757472,3.116847
droso_4840,40.5,2.690811,4.225332,3.343466
droso_4840,40.6,2.5267339,3.6932073,3.3064668
droso_4840,40.7,2.6095662,2.955443,3.2910519
droso_4840,40.800000000000004,3.0536325,3.2838743,3.7486715
droso_4840,40.900000000000006,2.6611602,2.9448447,3.6037216
droso_4840,41.0,2.7478082,2.7393162,3.725116
droso_4840,41.1,2.3842313,3.0461416,3.3266563
droso_4840,41.2,2.7245598,3.2522013,3.6485233
droso_4840,41.300000000000004,2.4811933,3.7223108,3.2702441
droso_4840,41.400000000000006,2.6309395,2.975445,3.0924027
droso_4840,41.5,2.5316112,3.2794049,3.162672
droso_4840,41.6,2.9247446,3.3720074,3.3017097
droso_4840,41.7,3.4957478,3.2653625,3.5752149
droso_4840,41.800000000000004,3.1731176,3.5671463,3.2784984
droso_4840,41.900000000000006,3.110198,3.4061077,3.2053688
droso_4840,42.0,3.5628731,2.9859984,3.1303046
droso_4840,42.1,3.3801947,2.988771,2.9058452
droso_4840,42.2,3.5961952,3.0560133,2.875898
droso_4840,42.300000000000004,3.6419725,3.095519,2.993656
droso_4840,42.400000000000006,3.5863476,3.330547,3.1380434
droso_4840,42.5,3.6929731,2.459692,3.0201077
droso_4840,42.6,4.0664673,2.6851034,2.8393838
